WC,MoralEmotional,UniquelyMoral,UniquelyEmotional,Number,Quantitative,PositiveEmotion,NegativeEmotional,Anxious,Anger,Sad,Social,Family,Friendship,Female,Male,CognitiveProcesses,Insight,Causation,Discrepancy,Tentative,Certainty,Differentiation,Perceptual,See,Hear,Feel,BiologicalProcessess,Body,Health,Sexual,Ingestion,Drives,Affiliation,Achievement,Power,Reward,Risk,PastFocus,PresentFocus,FutureFocus,Relativity,Motion,Space,Time,Work,Leisure,Home,Money,Religion,Death
79,3.8,1.27,0,3.8,0,0,5.06,0,2.53,0,8.86,0,0,0,0,8.86,0,2.53,0,1.27,1.27,5.06,1.27,0,0,1.27,1.27,1.27,0,0,0,13.92,2.53,0,6.33,0,5.06,1.27,7.59,1.27,20.25,3.8,10.13,6.33,1.27,0,0,0,0,2.53
49,0,6.12,10.2,4.65,4.65,4.65,2.33,0,2.33,0,4.65,0,0,0,0,11.63,2.33,0,0,2.33,2.33,4.65,0,0,0,0,0,0,0,0,0,6.98,0,0,6.98,0,0,0,9.3,0,13.95,0,6.98,4.65,4.65,0,0,0,0,0
58,0,5.17,1.72,1.72,8.62,1.72,0,0,0,0,8.62,0,0,0,6.9,10.34,0,0,0,6.9,3.45,0,0,0,0,0,1.72,0,0,0,1.72,5.17,0,0,3.45,1.72,0,1.72,8.62,1.72,17.24,6.9,6.9,5.17,0,1.72,0,0,0,0
69,2.9,0,5.8,1.45,0,7.25,1.45,0,1.45,0,28.99,0,0,0,0,4.35,0,2.9,0,0,1.45,0,4.35,0,4.35,0,1.45,0,0,0,0,20.29,15.94,1.45,2.9,1.45,1.45,7.25,13.04,0,15.94,2.9,8.7,4.35,1.45,1.45,2.9,0,0,0
48,2.08,2.08,2.08,6.38,2.13,4.26,0,0,0,0,4.26,0,0,0,0,4.26,0,0,2.13,2.13,2.13,2.13,2.13,2.13,0,0,0,0,0,0,0,10.64,0,2.13,6.38,0,2.13,8.51,2.13,0,19.15,0,14.89,4.26,4.26,0,0,0,0,0
62,1.61,4.84,3.23,4.84,1.61,1.61,1.61,1.61,0,0,6.45,0,0,0,0,4.84,3.23,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,11.29,0,1.61,8.06,0,1.61,1.61,6.45,1.61,11.29,0,8.06,3.23,9.68,0,0,0,1.61,0
70,2.86,1.43,1.43,14.29,1.43,1.43,1.43,0,1.43,0,5.71,0,0,0,0,4.29,1.43,0,0,2.86,0,0,0,0,0,0,0,0,0,0,0,1.43,0,0,1.43,0,0,1.43,8.57,0,5.71,1.43,2.86,1.43,2.86,0,0,1.43,0,1.43
56,0,0,5.36,5.36,5.36,3.57,0,0,0,0,0,0,0,0,0,14.29,0,1.79,0,7.14,5.36,3.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,10.71,0,8.93,1.79,1.79,1.79,0,0,1.79,0
62,3.23,1.61,1.61,19.35,1.61,0,4.84,1.61,3.23,0,3.23,0,0,0,0,6.45,1.61,3.23,0,1.61,0,1.61,0,0,0,0,0,0,0,0,0,4.84,1.61,0,3.23,0,0,0,4.84,0,17.74,0,11.29,6.45,0,0,0,0,0,3.23
86,2.33,2.33,4.65,1.16,3.49,6.98,1.16,0,1.16,0,15.12,0,0,0,0,17.44,5.81,1.16,2.33,2.33,0,5.81,5.81,1.16,2.33,2.33,1.16,0,1.16,0,0,5.81,2.33,0,1.16,0,2.33,4.65,23.26,1.16,13.95,4.65,3.49,5.81,1.16,1.16,0,0,0,0
72,2.78,4.17,1.39,2.78,5.56,4.17,0,0,0,0,12.5,0,0,0,2.78,13.89,2.78,1.39,1.39,4.17,1.39,2.78,2.78,0,0,2.78,1.39,1.39,0,0,0,15.28,5.56,4.17,2.78,0,2.78,6.94,5.56,0,16.67,0,8.33,8.33,2.78,0,0,0,0,0
88,0,5.68,1.14,1.14,1.14,1.14,1.14,0,1.14,0,9.09,0,0,0,2.27,21.59,10.23,3.41,1.14,4.55,3.41,4.55,1.14,1.14,0,0,0,0,0,0,0,4.55,0,0,3.41,1.14,0,2.27,22.73,0,18.18,6.82,3.41,9.09,3.41,1.14,0,0,0,0
90,1.11,1.11,5.56,1.11,3.33,5.56,1.11,1.11,0,0,16.67,0,0,0,1.11,15.56,3.33,4.44,0,1.11,3.33,3.33,6.67,4.44,0,2.22,0,0,0,0,0,11.11,4.44,1.11,2.22,1.11,2.22,2.22,15.56,1.11,16.67,3.33,7.78,4.44,3.33,1.11,0,0,0,0
75,0,0,2.67,4,6.67,1.33,0,0,0,0,13.33,1.33,0,5.33,1.33,12,1.33,0,0,4,4,2.67,1.33,0,1.33,0,2.67,1.33,1.33,0,0,5.33,2.67,2.67,0,1.33,0,2.67,14.67,0,8,0,6.67,1.33,6.67,0,0,12,0,0
91,1.1,2.2,2.2,10.99,5.49,1.1,0,0,0,0,5.49,0,0,1.1,0,8.79,0,2.2,0,0,3.3,3.3,0,0,0,0,0,0,0,0,0,4.4,2.2,0,1.1,0,1.1,0,6.59,0,6.59,0,4.4,2.2,13.19,0,2.2,19.78,0,0
60,3.33,3.33,3.33,0,3.39,8.47,0,0,0,0,8.47,0,0,0,0,6.78,0,1.69,0,0,1.69,3.39,1.69,1.69,0,0,6.78,0,6.78,0,0,5.08,1.69,0,3.39,0,0,0,16.95,0,10.17,0,8.47,1.69,3.39,0,0,5.08,0,0
73,0,4.11,4.11,2.86,1.43,1.43,2.86,0,2.86,0,7.14,0,0,0,0,21.43,4.29,1.43,2.86,5.71,4.29,4.29,0,0,0,0,0,0,0,0,0,1.43,0,0,0,1.43,0,0,17.14,5.71,7.14,2.86,2.86,1.43,0,0,0,0,0,0
98,0,5.1,2.04,2.11,2.11,1.05,0,0,0,0,13.68,0,0,0,0,13.68,3.16,0,2.11,3.16,4.21,4.21,0,0,0,0,4.21,0,4.21,0,0,6.32,5.26,0,1.05,0,0,1.05,18.95,2.11,12.63,4.21,7.37,1.05,1.05,0,1.05,4.21,0,0
110,0.91,3.64,3.64,0.93,0.93,2.78,1.85,0,1.85,0,5.56,0,0,0,0.93,12.04,0,1.85,2.78,0.93,2.78,3.7,2.78,2.78,0,0,0,0,0,0,0,8.33,0.93,0,6.48,0.93,0,7.41,11.11,0.93,13.89,2.78,7.41,3.7,4.63,0,0.93,0.93,0,0
73,0,6.85,1.37,0,0,0,1.43,0,1.43,0,14.29,1.43,1.43,4.29,2.86,12.86,2.86,1.43,7.14,4.29,1.43,4.29,0,0,0,0,5.71,0,5.71,0,0,7.14,0,1.43,4.29,2.86,0,1.43,12.86,0,8.57,2.86,5.71,0,5.71,0,0,1.43,0,0
69,0,1.45,0,0,2.99,0,0,0,0,0,8.96,0,0,0,0,8.96,1.49,0,1.49,5.97,1.49,1.49,0,0,0,0,7.46,4.48,2.99,0,0,5.97,2.99,0,2.99,0,0,1.49,14.93,1.49,10.45,1.49,5.97,2.99,2.99,0,0,0,0,0
55,9.09,9.09,0,0,1.89,1.89,9.43,0,3.77,0,7.55,0,0,0,0,5.66,0,1.89,0,0,1.89,1.89,1.89,0,1.89,0,0,0,0,0,0,13.21,5.66,0,5.66,0,1.89,0,16.98,0,5.66,0,5.66,1.89,3.77,0,0,0,1.89,0
85,2.35,3.53,1.18,0,4.82,3.61,0,0,0,0,7.23,0,0,0,0,14.46,1.2,1.2,1.2,7.23,0,6.02,0,0,0,0,2.41,0,2.41,0,0,8.43,1.2,1.2,6.02,1.2,0,0,15.66,1.2,8.43,1.2,3.61,3.61,8.43,0,0,2.41,0,0
82,1.22,4.88,2.44,1.27,6.33,0,3.8,0,2.53,0,24.05,0,0,0,0,12.66,1.27,1.27,5.06,5.06,2.53,5.06,0,0,0,0,5.06,0,3.8,1.27,0,12.66,6.33,0,6.33,0,0,0,10.13,1.27,5.06,1.27,2.53,1.27,1.27,0,0,1.27,0,1.27
57,0,3.51,1.75,3.64,1.82,0,1.82,0,0,0,9.09,1.82,0,0,0,1.82,0,0,0,1.82,0,0,3.64,3.64,0,0,5.45,0,5.45,1.82,0,1.82,1.82,0,0,0,0,9.09,10.91,0,10.91,1.82,1.82,7.27,3.64,0,0,5.45,0,0
